bathrooms,bedrooms,latitude,longitude,price,num_photos,num_features,num_description_words,interest_level
1.5,3,40.7145,-73.9425,3000,5,0,95,1
1.0,2,40.7947,-73.9667,5465,11,5,9,0
1.0,1,40.7388,-74.0018,2850,8,4,94,2
1.0,1,40.7539,-73.9677,3275,3,2,80,0
1.0,4,40.8241,-73.9493,3350,3,1,68,0
2.0,4,40.7429,-74.0028,7995,5,0,9,1
1.0,2,40.8012,-73.966,3600,10,8,87,0
2.0,1,40.7427,-73.9957,5645,5,8,134,0
1.0,1,40.8234,-73.9457,1725,5,4,4,1
2.0,4,40.7278,-73.9808,5800,9,2,166,0
1.0,0,40.7769,-73.9467,1950,1,0,28,0
1.0,1,40.8448,-73.9396,1675,5,7,105,0
1.0,2,40.7488,-73.977,3000,4,4,108,2
2.0,2,40.7707,-73.9817,6895,6,6,76,0
1.0,1,40.7584,-73.9648,3050,6,5,86,0
1.0,0,40.7439,-73.9743,2350,2,5,70,1
1.0,2,40.7305,-73.983,3650,5,1,49,0
1.0,1,40.8643,-73.928,1695,8,5,172,0
1.0,4,40.7999,-73.9638,5000,0,3,9,0
1.0,1,40.7328,-73.9799,3973,32,2,9,0
1.0,3,40.745400000000004,-73.9845,4395,6,4,143,0
1.0,2,40.7427,-73.9794,2999,5,9,43,1
1.0,1,40.7447,-73.9741,2595,0,2,9,0
1.0,1,40.7074,-74.0081,3695,4,10,112,0
2.0,4,40.7391,-73.9936,7400,6,12,137,1
3.5,4,40.7584,-73.9653,7500,7,12,118,0
1.0,1,40.7728,-73.9502,2295,6,3,63,1
1.0,1,40.7709,-73.9917,3164,6,8,106,0
1.0,1,40.8335,-73.9141,1350,1,0,35,2
2.0,2,40.7716,-73.9506,5600,1,8,51,0
1.0,0,40.7897,-73.976,2750,4,6,204,1
1.0,2,40.7902,-73.9678,3500,8,13,137,1
1.0,1,40.7179,-74.0148,5165,5,6,45,0
1.0,2,40.7301,-73.9942,4400,6,6,63,0
1.0,2,40.844,-73.9404,2300,5,4,72,0
1.0,1,40.79,-73.9418,1650,3,6,146,0
1.0,0,40.8184,-73.9389,1300,3,6,125,0
1.0,0,40.7649,-73.9763,1980,2,6,114,2
2.0,2,40.7471,-73.9867,6500,6,8,130,0
1.0,0,40.753,-73.9959,2396,4,14,81,1
1.0,3,40.7231,-74.0044,3733,11,1,6,0
3.0,4,40.7723,-73.9533,15000,5,18,85,0
1.0,0,40.7753,-73.954,2400,7,7,142,1
1.0,0,40.7739,-73.9511,1850,5,6,94,1
1.0,1,40.8031,-73.957,2500,5,2,72,0
1.0,1,40.7975,-73.9626,2045,5,2,100,1
1.0,0,40.7372,-73.9981,2650,5,5,81,0
1.0,2,40.7479,-74.0005,3745,4,8,137,0
1.0,1,40.7802,-73.9504,1900,16,0,4,0
1.0,2,40.7377,-73.9831,5595,4,13,104,0
1.0,1,40.7263,-73.8573,1750,15,3,48,0
1.0,1,40.7267,-73.8569,1650,9,1,73,1
1.0,0,40.7817,-73.9573,3500,6,6,70,0
1.0,1,40.789,-73.9756,3300,7,9,107,0
1.0,0,40.7522,-73.9702,2790,4,5,79,0
2.0,2,40.7059,-73.8339,2100,23,0,42,1
1.0,2,40.7943,-73.9675,3200,6,3,166,1
1.0,0,40.7699,-73.9565,2700,0,0,1,0
1.0,3,40.766,-73.9914,4500,9,8,47,1
1.0,1,40.6888,-73.9522,2000,5,2,28,0
1.0,2,40.7493,-73.7142,1900,10,0,64,1
1.0,1,40.7892,-73.9705,3200,5,5,99,1
1.0,0,40.7571,-73.9647,2290,7,7,90,0
1.0,2,40.7299,-73.9819,3895,2,6,149,0
1.0,1,40.7796,-73.9493,2200,5,4,70,2
1.0,1,40.7459,-73.9564,3200,0,4,9,0
1.0,1,40.7467,-73.9854,4455,8,7,130,0
1.0,1,40.7619,-73.9854,3697,0,9,1,0
2.0,2,40.7341,-73.9896,5700,6,8,125,2
1.0,2,40.7413,-73.9779,3400,5,10,146,1
1.0,1,40.7351,-73.9531,2550,11,13,132,0
1.0,2,40.8028,-73.9648,3200,5,3,60,0
2.0,3,40.7196,-74.0109,6320,7,10,143,0
1.0,1,40.7777,-73.9532,2945,0,4,1,0
2.0,2,40.7087,-74.0058,4600,7,9,183,0
2.0,2,40.7924,-73.9741,7800,18,5,47,0
2.0,2,40.7756,-73.9846,7000,11,11,175,0
1.0,2,40.7054,-74.0095,3250,5,13,41,1
1.0,0,40.7108,-73.8543,1400,3,0,35,2
1.0,1,40.7802,-73.9444,3195,8,8,268,0
1.0,1,40.664,-73.9342,1495,3,1,66,2
1.0,1,40.7349,-73.9863,3850,6,7,151,0
1.0,0,40.7617,-73.9626,2625,5,0,44,0
1.0,3,40.8394,-73.9381,2500,6,1,37,2
1.0,2,40.7931,-73.9715,3095,0,3,2,0
3.5,4,40.7788,-73.9538,13500,9,6,124,0
1.0,2,40.6578,-73.9259,1700,5,1,80,0
1.0,0,40.769,-73.9541,1850,5,3,61,1
1.0,2,40.6633,-73.9824,2050,2,2,135,2
1.0,1,40.7762,-73.9592,4000,5,10,112,0
1.0,0,40.7604,-73.9617,1950,4,1,9,0
1.0,1,40.778,-73.9774,2750,5,2,32,0
2.0,3,40.7801,-73.9803,4900,2,5,45,0
1.0,3,40.7447,-74.0052,6500,11,7,189,1
1.0,2,40.6896,-73.9982,2300,0,3,10,1
1.0,2,40.7306,-73.8519,2350,1,0,48,0
1.0,2,40.7318,-74.0016,3900,3,4,75,0
1.0,3,40.7594,-73.9712,4000,5,13,87,2
2.0,3,40.748,-73.9572,3850,6,12,98,1
1.0,1,40.7681,-73.9858,3995,1,3,20,0
1.0,2,40.624,-74.0312,2000,5,0,84,1
2.0,2,40.7161,-73.9548,4823,8,5,105,0
1.0,1,40.7676,-73.9577,2700,6,6,113,0
1.0,1,40.707300000000004,-74.0046,2695,3,8,112,1
1.0,1,40.5946,-73.9617,1800,4,0,59,0
1.0,2,40.7426,-73.979,3295,3,2,25,0
1.0,0,40.7793,-73.9496,1725,0,3,25,0
1.0,1,40.7216,-73.9423,2250,5,1,63,0
1.0,1,40.7802,-73.9504,2300,4,3,45,0
1.0,1,40.7128,-74.0059,3400,6,8,100,0
1.0,2,40.7763,-73.9518,3050,2,3,62,0
1.5,2,40.7676,-73.9813,6500,6,0,98,0
2.0,2,40.5757,-73.9686,3250,0,1,9,0
2.0,2,40.7777,-73.9883,5020,4,5,69,0
1.0,2,40.8034,-73.9661,3200,4,3,113,0
1.0,1,40.7133,-73.9395,2199,7,0,74,1
1.0,2,40.8678,-73.9251,1695,7,1,55,2
1.0,1,40.7592,-73.9903,2150,5,1,45,0
2.0,2,40.7779,-73.9525,6475,4,2,85,0
1.0,1,40.7064,-74.01,2750,8,11,188,1
2.0,4,40.7108,-73.9878,5300,4,13,122,2
1.0,1,40.7856,-73.9794,2195,3,4,83,1
2.0,4,40.7281,-73.9812,5900,10,1,108,1
1.0,0,40.7393,-73.9817,2500,7,3,294,1
1.0,2,40.7736,-73.947,2750,4,0,62,0
1.0,1,40.7633,-73.9628,3200,4,9,48,1
1.0,0,40.7444,-73.9754,2400,6,9,89,1
2.0,3,40.7796,-73.7804,2000,11,2,42,2
1.0,2,40.7697,-73.9581,3300,6,3,107,1
1.0,0,40.7075,-74.0113,3090,3,9,125,0
1.0,3,40.7264,-73.9836,4895,5,6,275,1
1.0,2,40.7947,-73.9667,5465,4,5,255,0
1.0,3,40.7983,-73.9416,2000,5,0,35,1
1.0,0,40.7481,-73.9748,2700,5,8,144,0
1.0,1,40.7993,-73.9689,2400,4,1,49,0
1.0,3,40.7694,-73.9603,4400,7,8,137,0
1.0,1,40.7299,-73.9819,2795,4,5,108,1
1.0,2,40.7751,-73.9481,2475,6,0,50,0
2.0,2,40.7922,-73.9645,5495,4,4,92,0
1.0,0,40.7366,-73.9934,2900,3,6,68,1
2.0,3,40.6896,-73.9527,3462,4,11,428,0
2.0,1,40.7324,-74.0081,8400,4,9,80,0
1.0,1,40.7412,-73.9772,3150,1,1,28,0
1.0,0,40.754,-73.9678,2600,4,9,63,0
1.0,0,40.7382,-73.9965,3995,7,5,38,0
1.0,1,40.764,-73.98,3600,5,6,20,0
1.0,2,40.7401,-74.0039,5400,5,8,152,2
1.0,1,40.7481,-73.9564,2983,12,12,115,1
1.0,1,40.7723,-73.948,2400,7,0,85,1
1.0,3,40.7681,-73.9527,13500,6,13,144,0
1.0,0,40.7777,-73.9498,1800,4,3,46,0
1.0,1,40.7951,-73.9676,2700,5,8,100,2
1.0,1,40.6905,-73.9668,2200,5,2,105,0
1.0,1,40.7612,-73.9978,3346,6,6,30,0
2.0,3,40.7906,-73.9687,6000,1,6,4,0
1.0,2,40.8666,-73.9217,2195,3,2,41,0
1.0,1,40.7692,-73.9847,5200,8,9,100,0
2.0,3,40.7075,-74.0059,4500,11,10,116,1
2.0,3,40.6812,-73.9105,2395,8,2,133,1
1.0,1,41.0412,-73.54,2195,11,14,151,0
2.0,2,40.7634,-73.9596,5200,4,6,71,0
2.0,4,40.7307,-73.9837,5800,8,5,105,2
1.0,0,40.7242,-73.9878,1975,3,1,22,1
1.0,0,40.7298,-73.9868,2750,6,1,59,0
1.0,1,40.7658,-73.9781,3750,8,7,102,0
2.0,3,40.7548,-73.9944,4555,7,12,135,1
2.0,2,40.7437,-73.9585,4890,15,0,49,0
1.0,3,40.7177,-73.9984,4595,3,3,51,0
1.0,2,40.763,-73.9579,2800,7,1,53,0
1.0,1,40.6663,-73.9402,1800,8,4,57,1
1.0,1,40.7406,-73.9822,3195,5,2,4,0
1.0,1,40.755,-73.9663,2675,5,5,170,1
2.0,2,40.7621,-73.9956,5450,5,11,151,0
2.0,3,40.7469,-73.9803,5000,6,13,84,0
1.0,1,40.7111,-73.8272,1675,1,5,1,0
2.0,2,40.7182,-74.0148,6200,6,9,146,0
1.0,2,40.8217,-73.9486,2500,4,5,103,0
1.0,3,40.7265,-73.9835,4750,3,1,89,1
1.0,1,40.7441,-73.8792,1700,12,2,25,1
1.0,0,40.7689,-73.9681,2850,3,3,57,0
1.0,0,40.7032,-73.9914,3035,7,16,164,0
1.0,1,40.7787,-73.9751,3100,4,2,88,0
1.0,1,40.7265,-73.9851,3195,10,8,101,2
1.0,2,40.7491,-73.9789,3450,2,5,179,0
1.0,1,40.7793,-73.9496,1895,2,3,64,1
1.0,1,40.7726,-73.926,2600,6,2,114,0
1.0,1,40.7462,-73.9757,3175,5,5,73,0
1.0,1,40.7346,-74.0018,2600,5,4,180,0
